Day,SalesA,SalesB,SalesC,SalesD
2011-01-01,5.49,1.03,1.47,3.27
2011-01-02,3.56,5.28,4.05,3.2
2011-01-03,2.51,3.32,1.94,2.79
2011-01-04,2.04,0.98,4.17,2.06
2011-01-05,1.07,2.35,1.17,1.87
2011-01-06,4.06,2,3.94,3.03
2011-01-07,1.36,4.28,6.32,3.41
2011-01-08,2.13,2.46,5.59,3.46
2011-01-09,2.67,1.01,1.42,1.89
2011-01-10,4.18,0.92,5.03,2.64
2011-01-11,1.8,4.2,1.65,4.21
2011-01-12,1.48,2.62,1.25,3.86
2011-01-13,2.1,4.69,4.87,3.83
2011-01-14,5.88,5.45,4.06,2.96
2011-01-15,4.28,1.14,1.72,1.16
2011-01-16,1.12,4.36,2.36,3.13
2011-01-17,2.28,5.43,1.21,2.48
2011-01-18,1.32,6.21,3.21,1.42
2011-01-19,2.03,1.38,3.02,4.92
2011-01-20,2.39,1.39,4.73,2.36
2011-01-21,3.64,1.64,4.85,4.19
2011-01-22,1.8,5.52,1.56,1.03
2011-01-23,1.89,2.09,2.66,3.23
2011-01-24,5.8,7.22,2.61,4.37
2011-01-25,3.42,3.47,2.46,3.81
2011-01-26,4.6,3.42,3.34,3.4
2011-01-27,5.79,1.26,2.4,2.12
2011-01-28,3.24,1.57,4.6,1.56
2011-01-29,1.02,1,6.12,2.24
2011-01-30,1.08,5.28,3.89,3.23
2011-01-31,1.29,3.92,7.29,1.92
2011-02-01,1.26,4.82,5.24,1.54
2011-02-02,3.76,2.76,1.43,1.96
2011-02-03,1.49,1.39,2.17,4.38
2011-02-04,1.88,2.33,7.16,3.31
2011-02-05,1.06,1.85,5.68,1.92
2011-02-06,2.82,1.48,2.78,3.61
2011-02-07,1.39,2.25,1.09,3.41
2011-02-08,2.1,3.24,2.77,1.8
2011-02-09,2.88,2.78,5.39,2.51
2011-02-10,1.17,2.76,2.4,1.96
2011-02-11,3.9,5.05,4.69,3.64
2011-02-12,2.96,1.63,2.35,2.56
2011-02-13,1.84,3.83,4.22,3.99
2011-02-14,5.97,0.9,1.72,2.76
2011-02-15,1.54,1.59,3.84,3.01
2011-02-16,3.55,2.54,4.58,4.08
2011-02-17,2.47,9.32,4.83,2.97
2011-02-18,1.81,6.69,2.97,3.6
2011-02-19,1.76,1.05,2.44,2.42
2011-02-20,2.16,3.53,2.91,3.44
2011-02-21,1.58,1.15,2.6,4.26
2011-02-22,1.26,5.67,1.09,2.2
2011-02-23,3.59,1.35,1.93,3.94
2011-02-24,6.11,2.16,6.35,2.13
2011-02-25,1.83,3.09,3.32,2.85
2011-02-26,2.47,2.88,5.4,1.87
2011-02-27,2.33,3.11,2.26,2.9
2011-02-28,1.46,7.97,1.05,4.22
2011-03-01,4.13,3.2,1.48,3.32
2011-03-02,1.74,5.47,5.63,3.05
2011-03-03,3.1,1.07,1.61,3.81
2011-03-04,3.55,1.3,5.27,2.44
2011-03-05,1.44,1.24,1.4,3.33
2011-03-06,0.96,1.33,2.35,1.76
2011-03-07,1.16,2.38,4.23,2.06
2011-03-08,1.75,1.28,3.38,2.99
2011-03-09,2.55,3.02,3.7,3.34
2011-03-10,2.32,1.22,1.57,4.01
2011-03-11,1.46,1.38,1.88,3.38
2011-03-12,1.63,1.52,2.08,3.56
2011-03-13,4.19,3.96,1.26,2.51
2011-03-14,1.63,4.4,2.25,2.96
2011-03-15,1.72,4.56,3.26,3.08
2011-03-16,1.62,4.29,5.39,1.86
2011-03-17,2.14,1.32,3.45,3
2011-03-18,3.8,2.14,7.36,4.49
2011-03-19,1.73,2.36,1.08,3.69
2011-03-20,1.39,1.29,1.99,4.57
2011-03-21,2.03,3.51,4,2.73
2011-03-22,2.13,3.74,1.4,4.36
2011-03-23,4.16,2.13,3.44,1.05
2011-03-24,1.92,1.37,1.79,3.6
2011-03-25,2.86,3.34,1.1,1.38
2011-03-26,1.52,1.45,1.56,3.43
2011-03-27,1.15,1.86,1.13,1.66
2011-03-28,2.58,1.83,5.04,3.04
2011-03-29,2.55,1.72,2.81,2.19
2011-03-30,1.54,4.65,2.26,4.38
2011-03-31,4.78,4.63,2.6,3.04
2011-04-01,4.64,2.39,3.76,2.29
2011-04-02,3.04,1.2,2.78,3.55
2011-04-03,3.67,5.09,3.84,1.07
2011-04-04,1.56,1.77,4.4,4.25
2011-04-05,1.21,1.04,2.56,1.97
2011-04-06,1.14,5.07,6.28,1.9
2011-04-07,1.18,2.65,4.11,1.66
2011-04-08,1.67,4.91,5.12,3.65
2011-04-09,2.4,3.78,1.17,3.64
2011-04-10,1.68,2.2,4.03,3.65
2011-04-11,2.27,5.41,3.48,3.67
2011-04-12,1.69,2.81,1.09,4
2011-04-13,3.37,3.19,5.29,6.08
2011-04-14,2.62,1.4,3.56,2.1
2011-04-15,4.47,1.39,3.41,2.68
2011-04-16,3.48,2.47,3.91,4.1
2011-04-17,1.14,2.39,4.37,5.3
2011-04-18,1.85,2.14,3.16,3.39
2011-04-19,1.47,3.3,2.52,1.47
2011-04-20,1.3,1.68,6.42,1.89
2011-04-21,3.38,4.4,6.71,3.7
2011-04-22,2.6,2.32,3.43,1.98
2011-04-23,1.84,4.17,1.57,2.07
2011-04-24,1.16,1.26,3.12,3.67
2011-04-25,3.8,2.94,3.82,2.94
2011-04-26,1.14,3.33,1.35,4.4
2011-04-27,4.19,6.87,2.14,3.01
2011-04-28,2.93,2.38,3.56,1.86
2011-04-29,2.37,1.32,2.98,3.88
2011-04-30,1.63,1.6,3.63,3.22
2011-05-01,3.22,1.3,2.1,1.92
2011-05-02,1.74,1.32,1.19,3.62
2011-05-03,1.11,3.39,4.12,1.84
2011-05-04,1.25,1.63,1.15,2.18
2011-05-05,1.76,1.87,5.69,2.16
2011-05-06,3.64,3.7,2.24,1.83
2011-05-07,1.01,3.3,5.95,3.89
2011-05-08,3.39,2.41,3.82,2.25
2011-05-09,2.51,5.63,4.6,3.66
2011-05-10,0.96,1.28,1.27,2.36
2011-05-11,3.78,1.72,1.48,2.62
2011-05-12,2.41,1.04,4.44,3.41
2011-05-13,5.09,1.84,3.24,2.06
2011-05-14,3.54,1.23,4.86,4.32
2011-05-15,1.11,1.06,1.49,1.92
2011-05-16,3,2.23,3.97,2.47
2011-05-17,2.42,3.09,1.26,2.71
2011-05-18,1.55,1.85,3.78,3.58
2011-05-19,1.61,1.6,2.81,4.01
2011-05-20,1.84,2.73,2.83,2.59
2011-05-21,2.35,4.6,6.5,3.39
2011-05-22,1.84,3.25,2.05,1.83
2011-05-23,2.05,4.54,4.71,3.14
2011-05-24,1.01,1.72,3.38,2.72
2011-05-25,1.28,4.77,2.18,2.15
2011-05-26,1.96,1.48,2.87,3.08
2011-05-27,1.05,3.45,5.13,4.02
2011-05-28,1.2,1.35,5.11,4.83
2011-05-29,1.83,3.38,6.71,3.56
2011-05-30,2.53,3.5,1.49,2.68
2011-05-31,3.59,1.73,3.17,2.32
2011-06-01,1.57,1.35,1.69,1.54
2011-06-02,2.92,2.05,6.61,5.39
2011-06-03,1.31,3.62,1.07,2.68
2011-06-04,2.92,2.75,1.56,2.43
2011-06-05,2.05,2.96,1.71,3.34
2011-06-06,4.05,4.57,2.34,3.38
2011-06-07,1.16,1.66,2.61,3.12
2011-06-08,2.15,2.32,3.52,1.92
2011-06-09,2.61,1.15,1.27,3.32
2011-06-10,3.66,4.75,3.45,1.75
2011-06-11,2.94,1.16,1.71,1.94
2011-06-12,0.95,1.19,1.71,2.77
2011-06-13,1.16,1.15,3.11,2.9
2011-06-14,6.02,2.52,4.36,2.58
2011-06-15,1.15,4.99,1.76,2.09
2011-06-16,6.04,3.16,1.27,1.97
2011-06-17,1.92,1.58,2.77,2.57
2011-06-18,1.56,4.29,6.25,3.61
2011-06-19,4.55,1.3,1.4,3.18
2011-06-20,4.83,1.86,3.63,1.02
2011-06-21,3.13,1.69,2.27,4.23
2011-06-22,2.66,6.04,1.46,3.06
2011-06-23,1.64,1.8,1.33,3.92
2011-06-24,0.95,3.63,1.73,2.76
2011-06-25,4.08,2.29,1.43,3.83
2011-06-26,1.35,4.55,4.52,4.73
2011-06-27,3.96,3.49,4.31,3.06
2011-06-28,2.5,1.27,1.79,4.51
2011-06-29,2.9,2.96,6.2,3.99
2011-06-30,1.54,1.34,2.69,1.85
2011-07-01,1.94,1.57,4.54,2.76
